name,price,floorsize
Enchanting Community I Semi-Detached I Great Layout,1900000,2350
Beautiful Type 3 | 3 Bedrooms Villa in Deema 1,3200000,4682
3 BR   M Townhome | Ground Unit | Below Market,875000,1514
Upgraded Villa Opposite the Pool in Deema 1,3200000,4682
2 Mints walk to Pool and Park | Keys in hand |,1250000,1819
READY TO MOVE IN LUXURIOUS 3 BEDROOMS VILLA IN DAMAC HILLS,1662000,2750
Magnificent ready to move in VILLA for sale in AKOYA OXYGEN,1100000,2400
3 AND 4 BEDROOMS TOWNHOUSE SINGLE ROW FOR SALE,1500000,2390
"3 BHK, Mira Oasis, Reem 2, Type A @ 1,707888, Handover July 2020",1707888,2846
"3 BR VILLA FOR SALE IN NOOR TOWNHOUSES, BY NSHAMA",1150000,2134
3 Bed plus Maid | Multiple Option | Casa Dora,1350000,2143
Classic Style 3BR Villa with separate Maids room,1345000,2421
3 Bed + Maid | Negotiable | Exclusive Listing,1400000,1991
CHARMING 3 BEDROOM + MAID | TYPE THM |,1732000,2723
3 BR Townhouse ! 5 Years payment Plan ! The Valley,1210000,2039
للبيع فلل تاون هاوس بسعر ق��م منافس 585 درهم للقدم بدفعه مقدمة %5 واقساط 3 سنوات,1259000,2152
Exclusive/ Ready to Move/Park Facing Unit,1579000,2700
Best villa community on Dubai-Ain 5.5yrs pymt pln,1160000,1854
Super distressed deal 3br single row|Villa nova,1149000,1730
Beautiful Lake  road View corner plot 3 bedroom plus study,1950000,2230
Ready to Move In | Type A | Motivated Seller,1575000,2382
Stylish Townhouse in Al Burooj Residence V at Al Furjan,1600000,2418
Gorgeous 3BR | With Maids Room | Trixis | Akoya Oxygen,1450000,1884
Investor Deal | 3 Bed+Maids | Close to Amenities | Serena,1250000,2016
Backing Pool  Park | 3 BR + Maid |,1399999,1820
Stunning | Vacant | 3 BR + Maid |,1250000,1820
Stunning | Backing Pool Park | 3 BR + Maid,1200000,1820
Cheapest | Type B Quortaj | 3 BR,1625000,2411
Type C | 3 Bed + Maid | Vacant | Serena,1250000,1820
Single Row | Type 2E | Mira 5 | VOT,1900000,2524
