titles,community,price,sqfootage
Luxury Upgraded Duplex Podium Villa|Full Marina View,Dubai Marina,"AED 7,200,000","4,227"
Exclusive | Spacious | Private Swimming Pool,"District 9, Legacy Nova Villas","AED 2,599,000","3,524"
2 Mints walk to Pool and Park | Keys in hand |,"Casa Dora, Serena","AED 1,250,000","1,819"
Enchanting Community I Semi-Detached I Great Layout,Mudon,"AED 1,900,000","2,350"
Motivated Seller I Golf Course Community,"Expo Golf Villas, Emaar South","AED 925,000","1,855"
3 AND 4 BEDROOMS TOWNHOUSE SINGLE ROW FOR SALE,"Arabella Townhouses 2, Arabella Townhouses","AED 1,500,000","2,390"
TYPE 2M | 3BR | MAIDS | STUDY | AL REEM 2 BEAUTY,"Al Reem 2, Arabian Ranches","AED 1,800,000","2,470"
Maple Type 2 M 3 BR - Maid - Single Row - Garden.,"Maple 2, Maple at Dubai Hills Estate","AED 1,850,000","2,228"
3BR Spacious Villa | Maid  | Garden | Springs 3,"The Springs 3, The Springs","AED 1,800,000","2,302"
TYPE C  3 BED - MAIDS - NEAR POOL  - BRAND NEW,"Bella Casa, Serena","AED 1,250,000","1,882"
Breathtaking 3-5Br Sea Facing Villas At Sur La Mer,Jumeirah,"AED 4,600,000","3,705"
"Spacious 3,4BR-Townhouse in Lush Green Community l Emaar","The Valley, Dubai Land","AED 1,168,888","1,996"
3 to 4BR Townhouses in lush green community by Majid Al Futtaim.,"Tilal Al Ghaf, Dubai Land","AED 1,200,000","2,152"
New Phase-Villanova-La Rosa 3 to 4Br Townhouse,"La Rosa, Villanova","AED 1,278,000","1,947"
FASCINATING 3BR W/CURTAINS | KITCHEN EQUIPPED | LANDSCAPE ARTIFICIAL GRASS | PENDANT LAMPS,Dubai Land,"AED 1,650,000","2,723"
READY TO MOVE IN LUXURIOUS 3 BEDROOMS VILLA IN DAMAC HILLS,DAMAC Hills (Akoya by DAMAC),"AED 1,662,000","2,750"
Magnificent ready to move in VILLA for sale in AKOYA OXYGEN,"The Woods, Akoya Oxygen","AED 1,100,000","2,400"
"Villa 3M IN  GOOD CONDITION , VACANT","The Springs 12, The Springs","AED 1,800,000","2,010"
3 Bedroom Plus Maids Plus Study For Sale In Springs,"The Springs 14, The Springs","AED 2,308,888","2,750"
Close To Pool  Park | 3 Bedroom | Corner Unit | Type B,"Arabella Townhouses 2, Arabella Townhouses","AED 1,500,000","2,680"
Freehold Villa in Jumeirah 1 | Lamer Beach Access | NO DLD,Jumeirah,"AED 3,900,000","3,800"
3 BR Townhouse ! 5 Years payment Plan ! The Valley,"Eden, The Valley","AED 1,210,000","2,039"
GREAT ROI I MULTI OPTION WARSAN VILLA FOR SALE,"Warsan Village, Al Warsan","AED 1,390,000","2,013"
Spacious Fendi Styled 3BR Villa In Damac Hills,DAMAC Hills (Akoya by DAMAC),"AED 2,667,000","2,696"
Classic Style 3BR Villa with separate Maids room,"Mira Oasis 3, Mira Oasis","AED 1,345,000","2,421"
Great Deal for End user and Investor | 3 Bed+Maids | Serena,"Casa Dora, Serena","AED 1,250,000","2,016"
A COLLECTION OF OUR ELEGANT HOMES THE LUXURY VILLA DESIGNED BY FENDI,"Fendi Styled Villas, DAMAC Hills (Akoya by DAMAC)","AED 2,499,999","2,696"
today distress deal 3 bedrooms villa for sale in Arabian ranches casa villa type 2 rented with maid,"CASA at Arabian Ranches, Arabian Ranches 2","AED 3,100,000","4,360"
"Excellent Deal  3Bed, Price Negotiable, Call Now","Camelia, Arabian Ranches 2","AED 1,488,888","1,506"
Single Row Brand New 3bhk Great Deal Multiple unit,"Noor Townhouses, NSHAMA Town Square","AED 1,200,000","2,022"
Luxury Upgraded Duplex Podium Villa|Full Marina View,Dubai Marina,"AED 7,200,000","4,227"
Exclusive | Spacious | Private Swimming Pool,"District 9, Legacy Nova Villas","AED 2,599,000","3,524"
Motivated Seller I Golf Course Community,"Expo Golf Villas, Emaar South","AED 925,000","1,855"
Enchanting Community I Semi-Detached I Great Layout,Mudon,"AED 1,900,000","2,350"
2 Mints walk to Pool and Park | Keys in hand |,"Casa Dora, Serena","AED 1,250,000","1,819"
"Brand New Community, Spacious 3 bed and Maid Room","Maple 2, Maple at Dubai Hills Estate","AED 1,800,000","2,093"
"Handed over in 3 months, 3 bedroom with naids","Amaranta, Villanova","AED 1,329,000","1,987"
